STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,30-MAY-17 04.17.04.781000000 PM,30-MAY-17 04.27.08.070000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,30-MAY-17 04.38.39.914000000 PM,30-MAY-17 04.48.49.019000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,30-MAY-17 04.52.02.070000000 PM,30-MAY-17 05.02.05.477000000 PM,1,ME+2/1/13/6/HVSegment2
HV trip,30-MAY-17 08.57.36.064000000 PM,30-MAY-17 09.07.39.924000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,30-MAY-17 09.12.59.164000000 PM,30-MAY-17 09.23.02.558000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 09.29.48.889000000 PM,30-MAY-17 09.39.52.269000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 09.52.49.705000000 PM,30-MAY-17 10.02.53.070000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 10.10.48.799000000 PM,30-MAY-17 10.20.52.263000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 10.11.01.875000000 PM,30-MAY-17 10.21.05.220000000 PM,1,ME+2/1/07/2/HVSegment1
HV trip,30-MAY-17 11.18.06.289000000 PM,30-MAY-17 11.28.09.679000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,31-MAY-17 12.36.15.442000000 AM,31-MAY-17 12.46.20.553000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,31-MAY-17 02.38.21.176000000 AM,31-MAY-17 02.48.24.624000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,01-JUN-17 04.22.02.718000000 PM,01-JUN-17 04.32.06.127000000 PM,1,ME-4/2/35/5/HVSegment1
HV trip,03-JUN-17 07.34.18.825000000 AM,03-JUN-17 07.44.22.132000000 AM,1,ME+2/1/07/2/HVSegment1
HV trip,05-JUN-17 01.55.05.539000000 AM,05-JUN-17 02.05.08.865000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,05-JUN-17 02.07.05.954000000 AM,05-JUN-17 02.17.09.268000000 AM,1,ME-2/1/17/5/HVSegment1
HV trip,05-JUN-17 02.10.08.616000000 AM,05-JUN-17 02.20.18.943000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 02.11.28.964000000 AM,05-JUN-17 02.21.32.181000000 AM,1,ME+2/1/07/2/HVSegment1
HV trip,05-JUN-17 02.18.10.763000000 AM,05-JUN-17 02.28.18.917000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,05-JUN-17 02.34.25.077000000 AM,05-JUN-17 02.44.28.619000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,05-JUN-17 02.41.35.864000000 AM,05-JUN-17 02.51.39.253000000 AM,1,ME+3/1/02/1/HVSegment1
HV trip,05-JUN-17 03.26.26.495000000 AM,05-JUN-17 03.36.30.987000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,05-JUN-17 03.38.19.332000000 AM,05-JUN-17 03.48.22.889000000 AM,1,ME+2/1/07/2/HVSegment1
HV trip,05-JUN-17 03.41.18.964000000 AM,05-JUN-17 03.51.22.308000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 03.48.20.363000000 AM,05-JUN-17 03.58.23.814000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,05-JUN-17 03.52.21.036000000 AM,05-JUN-17 04.02.24.300000000 AM,1,ME-3/1/18/4/HVSegment2
HV trip,05-JUN-17 04.06.24.392000000 AM,05-JUN-17 04.16.27.826000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,05-JUN-17 04.09.45.272000000 AM,05-JUN-17 04.19.48.975000000 AM,1,ME+2/1/07/2/HVSegment1
HV trip,05-JUN-17 04.12.35.881000000 AM,05-JUN-17 04.22.37.698000000 AM,1,ME+2/1/02/4/HVSegment1
HV trip,05-JUN-17 04.13.48.931000000 AM,05-JUN-17 04.23.52.344000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 04.20.49.012000000 AM,05-JUN-17 04.30.52.544000000 AM,1,ME+2/1/13/6/HVSegment2
HV trip,05-JUN-17 04.22.37.613000000 AM,05-JUN-17 04.32.41.062000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,05-JUN-17 04.26.18.993000000 AM,05-JUN-17 04.36.22.600000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,05-JUN-17 04.28.49.116000000 AM,05-JUN-17 04.38.52.486000000 AM,1,ME+2/1/07/2/HVSegment1
HV trip,05-JUN-17 04.29.49.724000000 AM,05-JUN-17 04.39.53.094000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,05-JUN-17 04.33.19.999000000 AM,05-JUN-17 04.43.23.383000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,05-JUN-17 04.44.56.278000000 AM,05-JUN-17 04.54.59.759000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 04.48.18.725000000 AM,05-JUN-17 04.58.22.495000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,05-JUN-17 04.54.48.628000000 AM,05-JUN-17 05.04.51.927000000 AM,1,ME+4/2/18/6/HVSegment5
HV trip,05-JUN-17 05.05.26.903000000 AM,05-JUN-17 05.15.30.205000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,05-JUN-17 05.16.50.459000000 AM,05-JUN-17 05.26.53.837000000 AM,1,ME-2/1/17/5/HVSegment1
HV trip,05-JUN-17 05.51.18.759000000 AM,05-JUN-17 06.01.22.333000000 AM,1,ME+3/1/16/6/HVSegment2
HV trip,05-JUN-17 06.16.18.624000000 AM,05-JUN-17 06.26.21.860000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,05-JUN-17 06.21.53.865000000 AM,05-JUN-17 06.31.57.147000000 AM,1,ME+2/1/13/6/HVSegment2
