STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV disabled channel,26-APR-11 05.22.21.046000000 AM,26-APR-11 08.02.01.922000000 AM,1,ME-2/2/03/1/HVSegment5
HV disabled channel,26-APR-11 08.42.54.179000000 AM,29-APR-11 01.32.21.452000000 PM,1,ME-2/2/03/1/HVSegment5
HV disabled channel,27-APR-11 01.06.56.399000000 AM,29-APR-11 01.31.49.492000000 PM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,29-APR-11 06.03.25.120000000 AM,29-APR-11 01.31.04.186000000 PM,1,ME-2/2/34/6/HVSegment4
HV disabled channel,29-APR-11 07.50.07.631000000 AM,29-APR-11 01.29.42.387000000 PM,1,ME+4/2/10/1/HVSegment4
HV disabled channel,30-APR-11 06.55.52.922000000 PM,01-MAY-11 12.55.29.042000000 PM,1,ME-2/1/09/2/HVSegment1
HV disabled channel,01-MAY-11 03.16.24.274000000 AM,01-MAY-11 12.56.15.050000000 PM,1,ME-2/2/21/2/HVSegment5
HV disabled channel,01-MAY-11 04.41.15.076000000 PM,02-MAY-11 02.29.27.217000000 PM,1,ME-2/2/21/2/HVSegment5
HV disabled channel,02-MAY-11 05.25.59.120000000 PM,03-MAY-11 08.13.06.837000000 AM,1,ME+2/2/02/4/HVSegment2
HV disabled channel,20-MAY-11 03.09.27.284000000 AM,20-MAY-11 08.29.22.170000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,20-MAY-11 03.52.29.333000000 AM,20-MAY-11 08.29.51.074000000 AM,1,ME-2/1/09/2/HVSegment1
HV disabled channel,22-MAY-11 01.00.50.343000000 AM,23-MAY-11 08.47.30.519000000 AM,1,ME+2/2/02/4/HVSegment2
HV disabled channel,23-MAY-11 05.00.24.215000000 AM,23-MAY-11 08.46.53.360000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,25-MAY-11 10.38.12.126000000 AM,26-MAY-11 10.04.38.119000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,29-MAY-11 05.26.18.291000000 PM,01-JUN-11 09.01.13.800000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,03-JUN-11 01.02.16.662000000 PM,06-JUN-11 08.33.33.174000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,05-JUN-11 02.43.52.592000000 PM,06-JUN-11 08.34.07.013000000 AM,1,ME-2/2/26/6/HVSegment2
HV disabled channel,06-JUN-11 09.52.20.534000000 PM,07-JUN-11 08.41.02.102000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,12-JUN-11 09.49.05.581000000 PM,23-SEP-11 02.47.51.016000000 PM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,13-JUN-11 06.09.29.732000000 PM,13-JUN-11 06.10.29.628000000 PM,1,ME+1/3/22/1/HVSegment1
